iter	Passed	Remaining
0	71	71413
1	75	37849
2	79	26512
3	83	20783
4	87	17431
5	91	15180
6	96	13686
7	100	12480
8	104	11499
9	108	10759
10	112	10106
11	116	9571
12	120	9125
13	123	8721
14	127	8404
15	131	8098
16	135	7856
17	139	7624
18	143	7416
19	147	7234
20	151	7072
21	156	6947
22	163	6962
23	168	6842
24	172	6729
25	177	6633
26	181	6539
27	185	6450
28	190	6367
29	194	6287
30	198	6207
31	203	6161
32	208	6107
33	212	6033
34	216	5974
35	220	5913
36	225	5856
37	229	5812
38	234	5766
39	238	5716
40	242	5676
41	246	5629
42	250	5578
43	254	5538
44	258	5491
45	263	5472
46	269	5470
47	273	5430
48	277	5389
49	282	5358
50	286	5325
51	290	5298
52	294	5266
53	298	5231
54	303	5215
55	307	5188
56	312	5166
57	317	5152
58	321	5129
59	325	5106
60	330	5091
61	334	5063
62	338	5039
63	343	5022
64	347	5001
65	351	4977
66	355	4956
67	360	4934
68	364	4915
69	368	4894
70	372	4872
71	377	4860
72	381	4843
73	385	4819
74	393	4847
75	397	4836
76	402	4821
77	406	4802
78	410	4787
79	414	4766
80	418	4750
81	423	4736
82	427	4719
83	431	4703
84	437	4712
85	441	4696
86	445	4679
87	450	4671
88	454	4655
89	459	4641
90	463	4628
91	467	4613
92	471	4598
93	475	4583
94	479	4568
95	483	4555
96	487	4542
97	492	4529
98	498	4534
99	502	4524
100	506	4510
101	511	4500
102	515	4489
103	519	4475
104	524	4467
105	528	4456
106	532	4444
107	536	4431
108	540	4418
109	544	4406
110	548	4392
111	552	4381
112	557	4375
113	562	4370
114	566	4358
115	571	4354
116	575	4342
117	579	4330
118	584	4324
119	588	4314
120	592	4303
121	596	4292
122	600	4280
123	604	4272
124	608	4262
125	612	4251
126	617	4244
127	622	4238
128	626	4227
129	630	4221
130	635	4213
131	639	4204
132	643	4197
133	648	4188
134	652	4179
135	656	4171
136	660	4161
137	665	4158
138	671	4157
139	675	4147
140	678	4136
141	683	4128
142	687	4120
143	691	4113
144	696	4106
145	700	4097
146	705	4091
147	709	4085
148	713	4074
149	717	4068
150	721	4058
151	726	4050
152	731	4049
153	735	4041
154	739	4032
155	743	4024
156	747	4015
157	751	4006
158	756	3998
159	759	3989
160	764	3983
161	768	3977
162	772	3968
163	778	3966
164	782	3961
165	787	3954
166	794	3961
167	798	3954
168	802	3946
169	806	3938
170	811	3932
171	815	3925
172	817	3909
173	822	3902
174	826	3894
175	830	3888
176	835	3883
177	839	3877
178	844	3871
179	848	3866
180	854	3864
181	858	3858
182	862	3851
183	866	3842
184	870	3836
185	874	3829
186	879	3823
187	883	3816
188	887	3809
189	891	3802
190	897	3800
191	901	3795
192	906	3789
193	910	3784
194	915	3778
195	919	3770
196	923	3763
197	927	3756
198	931	3749
199	935	3743
200	940	3736
201	944	3732
202	948	3724
203	952	3716
204	957	3713
205	962	3709
206	966	3702
207	971	3698
208	976	3694
209	980	3687
210	985	3683
211	989	3677
212	993	3671
213	998	3666
214	1002	3661
215	1006	3654
216	1011	3649
217	1015	3643
218	1022	3645
219	1026	3639
220	1030	3633
221	1034	3626
222	1039	3620
223	1043	3613
224	1047	3607
225	1052	3603
226	1056	3598
227	1060	3591
228	1065	3585
229	1069	3579
230	1073	3573
231	1077	3567
232	1084	3571
233	1089	3566
234	1093	3559
235	1097	3553
236	1101	3547
237	1106	3541
238	1110	3535
239	1114	3529
240	1118	3523
241	1122	3516
242	1126	3509
243	1131	3504
244	1134	3497
245	1139	3491
246	1144	3490
247	1149	3484
248	1153	3479
249	1158	3475
250	1162	3468
251	1166	3462
252	1170	3457
253	1174	3450
254	1178	3444
255	1182	3438
256	1187	3433
257	1192	3430
258	1197	3425
259	1201	3419
260	1205	3414
261	1209	3407
262	1213	3401
263	1218	3396
264	1222	3390
265	1226	3384
266	1230	3378
267	1234	3372
268	1239	3366
269	1242	3360
270	1246	3354
271	1253	3355
272	1258	3350
273	1262	3344
274	1266	3338
275	1270	3332
276	1274	3326
277	1278	3321
278	1282	3315
279	1286	3308
280	1290	3302
281	1294	3296
282	1298	3290
283	1302	3283
284	1306	3278
285	1312	3277
286	1317	3272
287	1321	3266
288	1326	3262
289	1330	3256
290	1334	3251
291	1338	3245
292	1342	3239
293	1346	3233
294	1350	3228
295	1354	3222
296	1359	3217
297	1362	3210
298	1366	3203
299	1370	3198
300	1376	3197
301	1380	3191
302	1385	3186
303	1389	3181
304	1393	3175
305	1398	3171
306	1402	3165
307	1406	3160
308	1410	3154
309	1414	3148
310	1420	3147
311	1424	3142
312	1428	3136
313	1433	3130
314	1437	3126
315	1441	3121
316	1446	3116
317	1450	3111
318	1454	3105
319	1459	3101
320	1463	3095
321	1467	3089
322	1471	3084
323	1475	3079
324	1482	3079
325	1487	3075
326	1491	3070
327	1495	3064
328	1499	3059
329	1504	3053
330	1508	3048
331	1512	3043
332	1516	3037
333	1520	3032
334	1524	3026
335	1528	3020
336	1533	3017
337	1537	3011
338	1544	3010
339	1548	3005
340	1553	3001
341	1556	2995
342	1560	2989
343	1564	2984
344	1568	2978
345	1573	2973
346	1577	2967
347	1580	2961
348	1585	2957
349	1589	2951
350	1593	2946
351	1598	2941
352	1601	2936
353	1610	2939
354	1615	2934
355	1619	2929
356	1623	2924
357	1627	2918
358	1632	2914
359	1636	2909
360	1640	2903
361	1644	2897
362	1647	2891
363	1654	2890
364	1659	2886
365	1663	2880
366	1667	2875
367	1671	2870
368	1675	2864
369	1679	2860
370	1683	2855
371	1687	2849
372	1692	2844
373	1696	2839
374	1700	2834
375	1705	2829
376	1709	2824
377	1716	2823
378	1720	2819
379	1724	2814
380	1728	2808
381	1733	2804
382	1738	2800
383	1742	2796
384	1747	2792
385	1752	2788
386	1757	2783
387	1761	2778
388	1765	2773
389	1769	2767
390	1775	2764
391	1779	2760
392	1784	2756
393	1788	2750
394	1792	2745
395	1797	2741
396	1801	2737
397	1807	2733
398	1811	2728
399	1815	2723
400	1819	2718
401	1824	2713
402	1828	2708
403	1833	2704
404	1840	2703
405	1844	2698
406	1848	2693
407	1852	2688
408	1856	2683
409	1861	2678
410	1865	2674
411	1870	2668
412	1874	2664
413	1879	2660
414	1885	2658
415	1889	2653
416	1894	2648
417	1898	2643
418	1902	2638
419	1907	2633
420	1911	2628
421	1915	2623
422	1919	2618
423	1923	2613
424	1928	2608
425	1933	2605
426	1937	2599
427	1942	2595
428	1949	2594
429	1953	2589
430	1957	2584
431	1961	2579
432	1966	2574
433	1970	2569
434	1974	2564
435	1978	2559
436	1982	2554
437	1987	2550
438	1991	2545
439	1995	2540
440	2000	2535
441	2006	2532
442	2011	2528
443	2015	2524
444	2020	2519
445	2024	2514
446	2028	2509
447	2033	2505
448	2037	2500
449	2042	2496
450	2047	2492
451	2051	2487
452	2055	2482
453	2059	2477
454	2064	2472
455	2070	2470
456	2075	2466
457	2079	2461
458	2083	2456
459	2088	2451
460	2092	2446
461	2096	2441
462	2101	2437
463	2105	2432
464	2109	2427
465	2116	2425
466	2120	2420
467	2125	2415
468	2129	2411
469	2134	2406
470	2138	2401
471	2142	2397
472	2147	2392
473	2151	2387
474	2155	2382
475	2160	2377
476	2164	2372
477	2168	2368
478	2173	2363
479	2180	2362
480	2185	2357
481	2189	2352
482	2193	2347
483	2197	2342
484	2202	2338
485	2206	2333
486	2210	2328
487	2215	2324
488	2219	2319
489	2223	2314
490	2228	2309
491	2232	2304
492	2238	2301
493	2242	2296
494	2246	2292
495	2250	2287
496	2255	2282
497	2259	2277
498	2263	2272
499	2268	2268
500	2272	2263
501	2276	2258
502	2281	2253
503	2285	2249
504	2289	2244
505	2294	2239
506	2300	2236
507	2304	2231
508	2308	2227
509	2312	2222
510	2316	2217
511	2321	2212
512	2326	2208
513	2329	2202
514	2334	2198
515	2338	2193
516	2343	2189
517	2349	2186
518	2353	2181
519	2357	2176
520	2362	2171
521	2366	2166
522	2370	2161
523	2374	2157
524	2378	2152
525	2382	2147
526	2387	2142
527	2391	2137
528	2395	2132
529	2399	2128
530	2404	2123
531	2411	2121
532	2415	2116
533	2419	2111
534	2423	2106
535	2428	2101
536	2432	2096
537	2436	2092
538	2440	2087
539	2444	2082
540	2449	2077
